gene,logFC,AveExpr,P.Value,adj.P.Val,B
Pcyt1b,3.617639683048918,2.1303610879806736,1.7762553387026524e-08,8.891218421155255e-07,0.0
Dkkl1,-4.517614654185165,2.9578573498126506,1.801885702358115e-08,8.985983902280339e-07,0.0
Lrrc8c,4.8808369076656914,3.3763894443403886,1.8164149459824357e-08,9.024891296427546e-07,0.0
Ddt,-1.756396944632927,3.800939401302592,1.8238828946912548e-08,9.02855683848088e-07,0.0
Ptgr3,1.4470246742748274,4.168272202497483,1.8516887116419514e-08,9.132501495101756e-07,0.0
Aoc3,6.408557171149141,4.57981981793719,1.8666138557685937e-08,9.172390064152266e-07,0.0
Nptx1,5.767138434018595,3.7236955503009046,1.8785871604114452e-08,9.197535312744357e-07,0.0
Gm21149,4.196434379089745,2.209470053019467,1.8920872936095573e-08,9.229945834098987e-07,0.0
Wfikkn2,3.133931127451906,1.7181268240828593,1.9215720101523392e-08,9.339814679780301e-07,0.0
Kcnmb1,6.110239218214257,3.248181334740943,1.949516111411217e-08,9.441429109957213e-07,0.0
Clxn,4.000392610999814,2.052661785312052,1.9603140776106877e-08,9.45957314789474e-07,0.0
Kif6,3.218642922696467,1.630391838269191,2.0025195394140033e-08,9.628602014780951e-07,0.0
Wfdc12,-4.791853075522327,2.644714858424276,2.021790606613847e-08,9.6865432099017e-07,0.0
Shank1,3.652195827490383,2.020031048213237,2.0405566022383214e-08,9.741660789689353e-07,0.0
